"FTM Limite diffraction_x","FTM Limite diffraction_y","0.0_x","0.0_y","0.5_x","0.5_y","1.0_x","1.0_y","1.5_x","1.5_y"
4.137829912,0.7072647116,14.94140625,0.09145832304,14.94140625,0.1217843904,14.94140625,0.1303371662,14.94140625,0.1075368087,
4.164874552,0.705389781,15.0390625,0.08995584662,15.0390625,0.1205779647,15.0390625,0.1274192101,15.0390625,0.1045013458,
4.191919192,0.7035156107,15.13671875,0.0885085826,15.13671875,0.119462289,15.13671875,0.1246257379,15.13671875,0.1015026788,
4.218963832,0.7016422057,15.234375,0.08711311047,15.234375,0.1184059201,15.234375,0.1219612968,15.234375,0.09856171231,
4.246008472,0.6997695716,15.33203125,0.08576111392,15.33203125,0.1173737842,15.33203125,0.1194258302,15.33203125,0.0956954611,
4.273053112,0.6978977134,15.4296875,0.08444282154,15.4296875,0.1163287769,15.4296875,0.117015224,15.4296875,0.09291706863,
4.300097752,0.6960266366,15.52734375,0.08315036187,15.52734375,0.1152335358,15.52734375,0.1147219416,15.52734375,0.09023634222,
4.327142392,0.6941563465,15.625,0.08188040028,15.625,0.1140522317,15.625,0.1125356084,15.625,0.08766061884,
4.354187032,0.6922868483,15.72265625,0.0806356035,15.72265625,0.1127522472,15.72265625,0.1104434593,15.72265625,0.08519570525,
4.381231672,0.6904181474,15.8203125,0.07942472828,15.8203125,0.1113056408,15.8203125,0.1084306276,15.8203125,0.08284661694,
4.408276312,0.6885502491,15.91796875,0.07826140404,15.91796875,0.109690344,15.91796875,0.1064803297,15.91796875,0.08061788118,
4.435320951,0.6866831587,16.015625,0.07716192838,16.015625,0.1078910708,16.015625,0.1045740522,16.015625,0.07851326742,
4.462365591,0.6848168817,16.11328125,0.07614258092,16.11328125,0.1058999564,16.11328125,0.1026918753,16.11328125,0.0765349461,
4.489410231,0.6829514233,16.2109375,0.0752170462,16.2109375,0.1037169533,16.2109375,0.1008130513,16.2109375,0.07468222948,
4.516454871,0.6810867889,16.30859375,0.07439449235,16.30859375,0.1013500224,16.30859375,0.09891690584,16.30859375,0.07295018031,
4.543499511,0.679222984,16.40625,0.07367867309,16.40625,0.09881514024,16.40625,0.09698405719,16.40625,0.0713284513,
4.570544151,0.6773600137,16.50390625,0.07306813864,16.50390625,0.0961361265,16.50390625,0.09499786086,16.50390625,0.06980071267,
4.597588791,0.6754978837,16.6015625,0.07255732674,16.6015625,0.09334426114,16.6015625,0.09294591636,16.6015625,0.0683449288,
4.624633431,0.6736365992,16.69921875,0.07213805031,16.69921875,0.09047762913,16.69921875,0.09082142067,16.69921875,0.06693457725,
4.651678071,0.6717761656,16.796875,0.07180078062,16.796875,0.08758009838,16.796875,0.08862413751,16.796875,0.06554070666,
4.678722711,0.6699165884,16.89453125,0.07153518173,16.89453125,0.08469981898,16.89453125,0.0863607719,16.89453125,0.06413455695,
4.705767351,0.6680578729,16.9921875,0.07132957053,16.9921875,0.08188713955,16.9921875,0.0840445955,16.9921875,0.06269035657,
4.732811991,0.6662000247,17.08984375,0.07116930001,17.08984375,0.07919188453,17.08984375,0.08169425711,17.08984375,0.06118788424,
